ICAO,Name,Country,Latitude,Longitude
KFCI,Chesterfield County Airport,United States,37.40650177,-77.52500153
YATN,Atherton Airport,Australia,-17.26169968,145.5149994
UIUB,Bagdarin Airport,Russia,54.36920166,113.4789963
MPRH,Scarlett Martinez International Airport,Panama,8.375880241,-80.12789917
KHNZ,Henderson Oxford Airport,United States,36.36159897,-78.52919769
KLEE,Leesburg International Airport,United States,28.82309914,-81.80870056
UUBL,Semyazino Airport,Russia,56.12670135,40.31499863
FATW,Witberg Tswalu Airport,South Africa,-27.20499992,22.48189926
FVMN,Mana Pools Airport,Zimbabwe,-15.768735,29.385617
SNZA,Pouso Alegre Airport,Brazil,-22.28919983,-45.91910172
SNDV,Brigadeiro Cabral Airport,Brazil,-20.1807003,-44.8708992
URKE,Yeysk Airport,Russia,46.68,38.21
UKDB,Berdyansk Airport,Ukraine,46.81499863,36.7580986
WARB,Blimbingsari Airport,Indonesia,-8.31015,114.3401
ZBER,Erenhot Saiwusu International Airport,China,43.4225,112.096667
EGBS,Shobdon Aerodrome,United Kingdom,52.24169922,-2.881109953
KCNO,Chino Airport,United States,33.97470093,-117.637001
RJDK,Kamigoto Airport,Japan,33.01309967,129.1920013
RJDO,Ojika Airport,Japan,33.19079971,129.0899963
RJTF,Chofu Airport,Japan,35.67169952,139.5279999
RORH,Hateruma Airport,Japan,24.05890083,123.8059998
KUYF,Madison County Airport,United States,39.93270111,-83.46199799
MUBR,Las Brujas Airport,Cuba,22.62129974,-79.14720154
CDG2,Digby (General Hospital) Heliport,France,44.61610031,-65.76190186
LSZW,Thun Airport,Switzerland,46.75640106,7.600560188
UHML,Lavrentiya Airport,Russia,65.58000183,-170.9966736
KPRB,Paso Robles Municipal Airport,United States,35.67290115,-120.6269989
RKDU,N 104 Helipad,South Korea,37.47916667,130.8955556
ZBAD,Beijing Daxing International Airport,China,39.509945,116.41092
EFKY,Kymi Airport,Finland,60.57139969,26.89609909
KHAF,Half Moon Bay Airport,United States,37.51340103,-122.5009995
ZGHC,Hechi Jinchengjiang Airport,China,24.805,107.6997
YKDI,Kadina Airport,Australia,-33.97669983,137.6600037
KWJF,General WM J Fox Airfield,United States,34.74110031,-118.2190018
YCWA,Coondewanna Airport,Australia,-22.9666996,118.8130035
SNGA,Guarapari Airport,Brazil,-20.64649963,-40.4919014
SDUB,Ubatuba Airport,Brazil,-23.44109917,-45.07559967
ORTL,Ali Air Base,Iraq,30.93580055,46.09009933
LPOT,Ota Air Base,Portugal,39.087502,-8.96278
YBRL,Borroloola Airport,Australia,-16.07530022,136.302002
EDNF,Elsenthal Grafe Airport,Germany,48.822498,13.3675
EGAD,Newtownards Airport,United Kingdom,54.58110046,-5.691939831
EGKH,Lashenden (Headcorn) Airfield,United Kingdom,51.156898,0.641667
EGLG,Panshanger Aerodrome,United Kingdom,51.80250168,-0.158056006
EGMT,Thurrock Airfield,United Kingdom,51.537505,0.367634
EGSG,Stapleford Aerodrome,United Kingdom,51.65250015,0.155833006
VOBG,HAL Airport,India,12.94999981,77.66819763
EGHR,Chichester/Goodwood Airport,United Kingdom,50.8594017,-0.759167016
NZOA,Omarama Glider Airport,New Zealand,-44.48669815,169.9859924
NZHT,Haast Aerodrome,New Zealand,-43.86529922,169.0410004
EDKM,Meschede-Schüren Airport,Germany,51.30277634,8.239167213
SEJD,Jumandy Airport,Ecuador,-1.059722,-77.583333
SDHU,Morro da Urca Heliport,Brazil,-22.95166779,-43.16583252
ZYFY,Dongji Aiport,China,48.199494,134.366447
EKSY,Skúvoy Heliport,Faroe Islands,61.76959991,-6.803410053
EKSR,Stóra Dímun Heliport,Faroe Islands,61.68529892,-6.758500099
EKFA,Frooba Heliport,Faroe Islands,61.54370117,-6.774419785
KTDF,Person County Airport,United States,36.28490067,-78.98419952
FADQ,Zulu Inyala Airport,South Africa,-27.84939957,32.30970001
ZUPS,Liupanshui Yuezhao Airport,China,26.609417,104.979
ZUKJ,Kaili Airport,China,26.972,107.988
ZHSN,Shennongjia Hongping Airport,China,31.626,110.34
ZBZJ,Zhangjiakou Ningyuan Airport,China,40.73860168,114.9300003
ZBES,Arxan Yi'ershi Airport,China,47.3106,119.9117
ZGHY,Hengyang Nanyue Airport,China,26.9053,112.627998
ZUHY,Hongyuan Airport,China,32.53154,102.35224
ZKWS,Wonsan Kalma International Airport,North Korea,39.166801,127.486
UGMS,Mestia Queen Tamar Airport,Georgia,43.053597,42.749012
URMS,Magas Airport,Russia,43.32229996,45.01259995
KASN,Talladega Municipal Airport,United States,33.56990051,-86.05090332
